time,low,high,open,close,volume,iso_time,batch
1582552800,9745.99,9793.99,9746.01,9753.99,1764.51389978,2020-02-24 08:00:00,4
1582556400,9693.17,9790.15,9753.99,9693.19,1843.9793,2020-02-24 09:00:00,4
1582560000,9683.0,9747.77,9693.19,9683.0,2131.94469701,2020-02-24 10:00:00,4
1582563600,9607.5,9698.9,9683.0,9607.5,2625.69134747,2020-02-24 11:00:00,4
1582567200,9513.97,9607.52,9607.5,9570.43,2372.73122912,2020-02-24 12:00:00,4
1582570800,9570.39,9740.55,9570.43,9603.36,11595.036651,2020-02-24 13:00:00,4
1582574400,9600.99,9763.29,9603.36,9600.99,2288.4058,2020-02-24 14:00:00,4
1582578000,9572.15,9608.91,9600.99,9592.55,1226.7335,2020-02-24 15:00:00,4
1582581600,9592.53,9644.87,9592.55,9644.85,636.89243493,2020-02-24 16:00:00,4
1582585200,9614.81,9669.02,9644.85,9669.0,1650.0186,2020-02-24 17:00:00,4
1582588800,9621.99,9675.6,9669.0,9624.99,2174.9213,2020-02-24 18:00:00,4
1582592400,9593.94,9628.3,9624.99,9597.39,1656.08803986,2020-02-24 19:00:00,4
1582596000,9580.51,9614.02,9597.39,9614.0,1412.94213959,2020-02-24 20:00:00,4
1582599600,9575.08,9619.84,9614.0,9580.61,2626.25293807,2020-02-24 21:00:00,4
1582603200,9566.64,9600.61,9580.61,9579.48,1381.47620865,2020-02-24 22:00:00,4
1582606800,9551.92,9584.3,9579.48,9552.06,1195.1702,2020-02-24 23:00:00,4
1582610400,9518.59,9557.51,9552.06,9518.61,1416.7797975,2020-02-25 00:00:00,4
1582614000,9494.2,9531.65,9518.61,9529.05,1430.72055545,2020-02-25 01:00:00,4
1582617600,9529.05,9592.85,9529.05,9564.47,1331.50132059,2020-02-25 02:00:00,4
1582621200,9564.47,9609.5,9564.47,9577.23,1386.7384,2020-02-25 03:00:00,4
1582624800,9550.06,9582.78,9577.23,9550.06,1043.97414033,2020-02-25 04:00:00,4
1582628400,9508.13,9592.5,9550.08,9592.14,3035.09563841,2020-02-25 05:00:00,4
1582632000,9592.12,9637.06,9592.14,9613.65,11487.64942498,2020-02-25 06:00:00,4
1582635600,9567.09,9622.27,9613.65,9592.79,1662.90648024,2020-02-25 07:00:00,4
1582639200,9411.89,9609.11,9592.79,9433.13,2494.59335526,2020-02-25 08:00:00,4
1582642800,9366.7,9436.31,9433.13,9384.42,2810.93564817,2020-02-25 09:00:00,4
1582646400,9316.62,9506.5,9384.42,9316.62,12924.9789046,2020-02-25 10:00:00,4
1582650000,9311.3,9340.01,9316.62,9339.37,21684.30327082,2020-02-25 11:00:00,4
1582653600,9332.33,9382.15,9339.37,9381.14,11872.3007,2020-02-25 12:00:00,4
1582657200,9329.75,9381.16,9381.14,9341.08,11475.80976193,2020-02-25 13:00:00,4
1582660800,9301.4,9357.61,9341.06,9301.42,11520.65548311,2020-02-25 14:00:00,4
1582664400,9301.4,9375.18,9301.42,9358.77,1091.9932403,2020-02-25 15:00:00,4
1582668000,9358.75,9424.98,9358.77,9388.65,645.82354728,2020-02-25 16:00:00,4
1582671600,9347.67,9388.67,9388.67,9347.67,966.3052,2020-02-25 17:00:00,4
1582675200,9300.0,9376.51,9347.67,9300.0,4110.3201,2020-02-25 18:00:00,4
1582678800,9219.51,9300.02,9300.02,9219.51,2102.36013508,2020-02-25 19:00:00,4
1582682400,9131.58,9219.53,9219.51,9194.99,1760.51094836,2020-02-25 20:00:00,4
1582686000,9132.51,9195.01,9195.0,9132.53,1085.9043,2020-02-25 21:00:00,4
1582689600,9120.26,9161.06,9132.53,9161.04,1417.18181583,2020-02-25 22:00:00,4
1582693200,9137.61,9191.5,9161.06,9191.48,1592.2105,2020-02-25 23:00:00,4
1582696800,9160.87,9203.37,9191.48,9203.35,1482.5962,2020-02-26 00:00:00,4
1582700400,9137.73,9215.95,9203.37,9137.73,1605.75330486,2020-02-26 01:00:00,4
1582704000,9124.96,9199.84,9137.73,9199.31,1754.6493,2020-02-26 02:00:00,4
1582707600,9110.52,9201.93,9199.31,9110.52,1661.9136,2020-02-26 03:00:00,4
1582711200,9110.52,9155.38,9110.52,9148.01,2481.7124,2020-02-26 04:00:00,4
1582714800,9134.99,9151.45,9148.01,9142.0,1424.39164685,2020-02-26 05:00:00,4
1582718400,9096.71,9249.16,9142.0,9237.23,11705.8995,2020-02-26 06:00:00,4
1582722000,9110.86,9260.74,9237.23,9110.86,2063.205,2020-02-26 07:00:00,4
1582725600,8976.83,10218.75,9110.86,9035.53,2239.85409688,2020-02-26 08:00:00,4
1582729200,8989.85,9041.39,9035.53,9004.2,12198.36888881,2020-02-26 09:00:00,4
1582732800,8685.88,9004.22,9004.2,8685.92,22765.40311744,2020-02-26 10:00:00,4
1582736400,8671.81,8747.32,8685.92,8676.03,12752.64994608,2020-02-26 11:00:00,4
1582740000,8675.99,8790.99,8676.03,8790.99,12279.7011563,2020-02-26 12:00:00,4
1582743600,8790.95,8836.67,8790.99,8813.11,12339.82334185,2020-02-26 13:00:00,4
1582747200,8787.7,8855.51,8813.11,8787.72,12624.14660978,2020-02-26 14:00:00,4
1582750800,8745.84,9728.83,8787.72,8745.84,2483.70958485,2020-02-26 15:00:00,4
1582754400,8745.84,8805.95,8745.84,8787.16,1287.05246486,2020-02-26 16:00:00,4
1582758000,8787.16,8812.01,8787.16,8798.96,1886.96389112,2020-02-26 17:00:00,4
1582761600,8653.51,8818.71,8798.96,8658.52,12122.73515486,2020-02-26 18:00:00,4
1582765200,8547.06,8687.77,8658.52,8687.75,2159.74226198,2020-02-26 19:00:00,4
1582768800,8654.84,8731.1,8687.75,8661.08,1637.92576192,2020-02-26 20:00:00,4
1582772400,8651.34,8740.01,8661.08,8739.99,1239.05103687,2020-02-26 21:00:00,4
1582776000,8670.78,8742.85,8740.01,8704.16,1518.37381723,2020-02-26 22:00:00,4
1582779600,8704.16,8762.81,8704.18,8762.79,1255.53535731,2020-02-26 23:00:00,4
1582783200,8762.79,8793.77,8762.79,8790.66,1682.45537423,2020-02-27 00:00:00,4
1582786800,8759.8,8820.25,8790.66,8797.44,1674.80906506,2020-02-27 01:00:00,4
1582790400,8797.42,8838.63,8797.44,8801.09,1571.97675379,2020-02-27 02:00:00,4
1582794000,8768.75,8805.77,8801.09,8768.75,1640.77682098,2020-02-27 03:00:00,4
1582797600,8766.3,8810.33,8768.75,8792.47,1363.86808212,2020-02-27 04:00:00,4
1582801200,8792.45,8814.3,8792.47,8811.06,987.46565114,2020-02-27 05:00:00,4
1582804800,8755.04,8929.44,8811.06,8755.06,12393.98111717,2020-02-27 06:00:00,4
1582808400,8755.04,8837.54,8755.06,8837.52,1652.71711995,2020-02-27 07:00:00,4
1582812000,8804.85,8848.59,8837.52,8846.56,2032.2486469,2020-02-27 08:00:00,4
1582815600,8844.12,8901.45,8846.56,8844.14,2690.28820636,2020-02-27 09:00:00,4
1582819200,8844.12,8939.64,8844.14,8939.64,2633.95750578,2020-02-27 10:00:00,4
1582822800,8902.18,8941.6,8939.64,8932.17,2027.54087789,2020-02-27 11:00:00,4
1582826400,8873.0,8933.94,8932.17,8873.02,2523.55976826,2020-02-27 12:00:00,4
1582830000,8873.0,8909.9,8873.02,8909.88,2653.36997662,2020-02-27 13:00:00,4
1582833600,8878.71,8909.9,8909.9,8881.4,1295.56822117,2020-02-27 14:00:00,4
1582837200,8764.69,8881.4,8881.4,8772.43,1571.29166939,2020-02-27 15:00:00,4
1582840800,8681.82,8803.83,8772.43,8756.74,1663.02899646,2020-02-27 16:00:00,4
1582844400,8756.72,8794.7,8756.74,8762.38,2063.12859523,2020-02-27 17:00:00,4
1582848000,8762.36,8863.83,8762.38,8863.64,2308.83938848,2020-02-27 18:00:00,4
1582851600,8836.19,8871.65,8863.64,8871.65,1656.22099923,2020-02-27 19:00:00,4
1582855200,8864.47,8892.99,8871.65,8875.03,1733.47680585,2020-02-27 20:00:00,4
1582858800,8851.99,8878.41,8875.03,8851.99,2089.34629226,2020-02-27 21:00:00,4
1582862400,8824.97,8858.04,8851.99,8858.02,1677.58155825,2020-02-27 22:00:00,4
1582866000,8795.05,8858.04,8858.02,8795.05,2566.47814284,2020-02-27 23:00:00,4
1582869600,8785.92,8803.55,8795.05,8803.55,2164.89094218,2020-02-28 00:00:00,4
1582873200,8716.85,8814.35,8803.55,8716.87,2745.23111574,2020-02-28 01:00:00,4
1582876800,8716.85,8775.02,8716.87,8732.59,1570.5712798,2020-02-28 02:00:00,4
1582880400,8595.24,8870.0,8732.59,8595.26,3464.32990498,2020-02-28 03:00:00,4
1582884000,8558.5,8633.21,8595.26,8558.52,2226.63397056,2020-02-28 04:00:00,4
1582887600,8558.5,8623.25,8558.52,8558.52,2290.25599154,2020-02-28 05:00:00,4
1582891200,8451.01,8558.54,8558.52,8501.03,12395.36893713,2020-02-28 06:00:00,4
1582894800,8501.01,8687.63,8501.03,8635.86,2433.6884646,2020-02-28 07:00:00,4
1582898400,8589.99,8644.69,8635.86,8643.79,1946.84591231,2020-02-28 08:00:00,4
1582902000,8633.95,8668.42,8643.79,8666.9,1924.42719334,2020-02-28 09:00:00,4
1582905600,8634.67,8701.41,8666.9,8634.69,2170.0148706,2020-02-28 10:00:00,4
1582909200,8521.19,8634.69,8634.69,8563.54,2385.29994148,2020-02-28 11:00:00,4
1582912800,8544.89,8575.44,8563.54,8550.46,2131.87617481,2020-02-28 12:00:00,4
1582916400,8527.85,8575.46,8550.46,8559.47,2428.34455591,2020-02-28 13:00:00,4
1582920000,8559.45,8677.01,8559.47,8628.0,3315.95054346,2020-02-28 14:00:00,4
1582923600,8628.0,8686.36,8628.0,8674.46,1638.49578623,2020-02-28 15:00:00,4
1582927200,8674.44,8770.16,8674.44,8766.78,2063.68046106,2020-02-28 16:00:00,4
1582930800,8736.33,8870.0,8766.78,8736.33,1771.95072039,2020-02-28 17:00:00,4
1582934400,8733.05,8772.02,8736.33,8733.05,2006.73377134,2020-02-28 18:00:00,4
1582938000,8701.9,8744.64,8733.07,8704.07,1810.64796915,2020-02-28 19:00:00,4
1582941600,8696.65,8746.44,8704.07,8736.98,2348.54802309,2020-02-28 20:00:00,4
1582945200,8698.79,8741.84,8736.98,8724.65,2035.19406122,2020-02-28 21:00:00,4
1582948800,8724.63,8760.88,8724.65,8758.28,2823.22405,2020-02-28 22:00:00,4
1582952400,8758.28,8779.36,8758.3,8769.99,2248.5852,2020-02-28 23:00:00,4
1582956000,8733.08,8781.15,8769.99,8733.08,2048.5827,2020-02-29 00:00:00,4
1582959600,8728.56,8758.5,8733.08,8758.5,2046.9083,2020-02-29 01:00:00,4
1582963200,8750.11,8768.11,8758.5,8751.71,2056.9618,2020-02-29 02:00:00,4
1582966800,8695.87,8752.04,8751.71,8695.89,2100.80249211,2020-02-29 03:00:00,4
1582970400,8664.53,8723.11,8695.89,8664.99,2147.71659514,2020-02-29 04:00:00,4
1582974000,8645.29,8720.12,8664.99,8717.06,2424.04757506,2020-02-29 05:00:00,4
1582977600,8665.28,8717.1,8717.06,8684.75,11584.10418,2020-02-29 06:00:00,4
1582981200,8629.33,8684.77,8684.75,8659.21,1871.51045,2020-02-29 07:00:00,4
1582984800,8611.29,8659.37,8659.21,8613.5,2586.13740799,2020-02-29 08:00:00,4
1582988400,8602.78,8676.46,8613.5,8676.44,1571.39595211,2020-02-29 09:00:00,4
1582992000,8616.99,8679.15,8676.44,8618.87,2208.64664928,2020-02-29 10:00:00,4
1582995600,8618.87,8662.44,8618.87,8662.44,2036.11540457,2020-02-29 11:00:00,4
1582999200,8651.83,8680.17,8662.44,8674.45,1760.27168337,2020-02-29 12:00:00,4
1583002800,8646.15,8675.01,8674.45,8675.0,2433.49304268,2020-02-29 13:00:00,4
1583006400,8650.0,8675.01,8675.0,8650.02,2492.11305481,2020-02-29 14:00:00,4
1583010000,8626.54,8676.25,8650.02,8629.56,2092.16781001,2020-02-29 15:00:00,4
1583013600,8604.06,8636.82,8629.56,8636.82,1261.83448273,2020-02-29 16:00:00,4
1583017200,8560.43,8700.0,8636.82,8560.43,2689.01708793,2020-02-29 17:00:00,4
1583020800,8559.66,8609.58,8560.43,8559.66,2393.65737041,2020-02-29 18:00:00,4
1583024400,8545.47,8615.84,8559.66,8614.6,2627.04538751,2020-02-29 19:00:00,4
1583028000,8614.58,8640.26,8614.6,8634.14,2166.3094477,2020-02-29 20:00:00,4
1583031600,8622.14,8646.56,8634.14,8623.09,2163.9586602,2020-02-29 21:00:00,4
1583035200,8565.49,8624.2,8623.09,8589.95,2935.74644662,2020-02-29 22:00:00,4
1583038800,8553.61,8595.53,8589.95,8579.65,2735.1016675,2020-02-29 23:00:00,4
1583042400,8542.69,8584.27,8579.65,8550.56,1992.94445392,2020-03-01 00:00:00,4
1583046000,8529.55,8562.33,8550.56,8529.57,2388.88978547,2020-03-01 01:00:00,4
1583049600,8529.55,8580.1,8529.57,8533.03,2283.8425075,2020-03-01 02:00:00,4
1583053200,8528.37,8572.24,8533.03,8541.73,2132.6002525,2020-03-01 03:00:00,4
